"date","reference","price_index_fao","coconut_beginning_stocks","coconut_crush","coconut_domestic_consumption","coconut_ending_stocks","coconut_exports","coconut_feed_waste_dom_cons","coconut_food_use_dom_cons","coconut_imports","coconut_industrial_dom_cons","coconut_price","coconut_production","coconut_total_distribution","coconut_total_supply","cottonseed_beginning_stocks","cottonseed_crush","cottonseed_domestic_consumption","cottonseed_ending_stocks","cottonseed_exports","cottonseed_feed_waste_dom_cons","cottonseed_food_use_dom_cons","cottonseed_imports","cottonseed_industrial_dom_cons","cottonseed_production","cottonseed_total_distribution","cottonseed_total_supply","olive_beginning_stocks","olive_crush","olive_domestic_consumption","olive_ending_stocks","olive_exports","olive_feed_waste_dom_cons","olive_food_use_dom_cons","olive_imports","olive_industrial_dom_cons","olive_production","olive_total_distribution","olive_total_supply","palm kernel_price","palm_beginning_stocks","palm_crush","palm_domestic_consumption","palm_ending_stocks","palm_exports","palm_feed_waste_dom_cons","palm_food_use_dom_cons","palm_imports","palm_industrial_dom_cons","palm_price","palm_production","palm_total_distribution","palm_total_supply","peanut_beginning_stocks","peanut_crush","peanut_domestic_consumption","peanut_ending_stocks","peanut_exports","peanut_feed_waste_dom_cons","peanut_food_use_dom_cons","peanut_imports","peanut_industrial_dom_cons","peanut_price","peanut_production","peanut_total_distribution","peanut_total_supply","rapeseed_beginning_stocks","rapeseed_crush","rapeseed_domestic_consumption","rapeseed_ending_stocks","rapeseed_exports","rapeseed_feed_waste_dom_cons","rapeseed_food_use_dom_cons","rapeseed_imports","rapeseed_industrial_dom_cons","rapeseed_price","rapeseed_production","rapeseed_total_distribution","rapeseed_total_supply","soybean_beginning_stocks","soybean_crush","soybean_domestic_consumption","soybean_ending_stocks","soybean_exports","soybean_feed_waste_dom_cons","soybean_food_use_dom_cons","soybean_imports","soybean_industrial_dom_cons","soybean_price","soybean_production","soybean_total_distribution","soybean_total_supply","sunflower_beginning_stocks","sunflower_crush","sunflower_domestic_consumption","sunflower_ending_stocks","sunflower_exports","sunflower_feed_waste_dom_cons","sunflower_food_use_dom_cons","sunflower_imports","sunflower_industrial_dom_cons","sunflower_price","sunflower_production","sunflower_total_distribution","sunflower_total_supply","vegetable_oil_beginning_stocks_usda","vegetable_oil_crush_usda","vegetable_oil_domestic_consumption_usda","vegetable_oil_ending_stocks_usda","vegetable_oil_exports_usda","vegetable_oil_feed_waste_dom_cons_usda","vegetable_oil_food_use_dom_cons_usda","vegetable_oil_imports_usda","vegetable_oil_industrial_dom_cons_usda","vegetable_oil_production_usda","vegetable_oil_total_distribution_usda","vegetable_oil_total_supply_usda","vegetable_oils_consumption_oecd","vegetable_oils_ending_stocks_oecd","vegetable_oils_exports_oecd","vegetable_oils_food_fat_availability_oecd","vegetable_oils_food_oecd","vegetable_oils_human_consumption_per_capita_oecd","vegetable_oils_imports_oecd","vegetable_oils_other_use_oecd","vegetable_oils_production_oecd","palm_kernel_beginning_stocks","palm_kernel_crush","palm_kernel_domestic_consumption","palm_kernel_ending_stocks","palm_kernel_exports","palm_kernel_feed_waste_dom_cons","palm_kernel_food_use_dom_cons","palm_kernel_imports","palm_kernel_industrial_dom_cons","palm_kernel_production","palm_kernel_total_distribution","palm_kernel_total_supply"
"2022-02-28",,201.7,,,,,,,,,,2147.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.63,,,,,,,,,,1522.36,,,,,,,,,,,,,,,,,,,,,,,,,,1744.2,,,,,,,,,,,,,1595.74,,,,,,,,,,,,,1472.349,,,,,,,,,,,,,,,,18267.69,1628.61,7352.49,2.78,12158.16,1.55,7352.49,3388.91,18352.24,,,,,,,,,,,,
"2022-01-31",,185.931,,,,,,,,,,2016.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195.79,,,,,,,,,,1344.79,,,,,,,,,,,,,,,,,,,,,,,,,,1865.36,,,,,,,,,,,,,1469.56,,,,,,,,,,,,,1379.023,,,,,,,,,,,,,,,,18244.72,1622.09,7345.07,2.78,12147.06,1.55,7345.07,3383.62,18329.91,,,,,,,,,,,,
"2021-12-31","World",178.505,44.17,461.5,293.92,40.42,161.08,2.67,151.08,158.75,140.17,1695.71,292.5,495.42,495.42,6.58,2806.58,419.25,9.42,8.75,0,373.67,6.67,45.58,424.17,437.42,437.42,41.58,,264.58,40.92,121.92,0,262.83,112.25,1.75,273.58,427.42,427.42,1861.43,1127.5,,6150.58,1129.92,4136.08,62,4129.08,3989.58,1959.5,1270.29,6299.5,11416.58,11416.58,24.75,1670.33,540.92,26.83,33.17,0,540,34.67,0.92,,541.5,600.92,600.92,277.42,5807.67,2412.5,210.83,459.5,4.25,1745.42,449,662.83,1742.5,2356.42,3082.83,3082.83,524.67,33413.17,5766.42,422.58,1669.67,8.33,4351.58,993.5,1406.5,1411.21,6340.5,7858.67,7858.67,144.92,4182.5,1649.5,155.5,1014,7,1556.08,914.75,86.42,1361.831,1759.33,2819,2819,2275.34,49977.5,18217.84,2105.17,7887.34,85.67,13289.24,6922.5,4842.92,19012.5,28210.34,28210.34,18221.75,1615.58,7337.65,2.78,12135.96,1.55,7337.65,3378.33,18307.58,83.75,1635.75,720.17,68.75,283.17,1.42,179.5,263.33,539.25,725,1072.08,1072.08
"2021-11-30","World",184.555,43.93,460.75,293.39,40.73,160.08,2.66,150.83,158.24,139.9,1960.68,292.03,494.2,494.2,7.06,2795.68,418.22,9.18,8.71,0,373.13,6.81,45.09,422.24,436.11,436.11,43.73,,263.92,40.97,121.26,0,262.17,111.34,1.75,271.08,426.15,426.15,2050.23,1132.78,,6146.69,1129.72,4125.12,61.76,4128.06,3986.76,1956.88,1340.65,6281.99,11401.53,11401.53,25.35,1669.24,540.83,26.66,33.78,0,539.92,34.87,0.92,,541.06,601.28,601.28,273.3,5818.42,2408.56,216.38,465.53,4.25,1740.72,454.81,663.58,1825.34,2362.36,3090.47,3090.47,522.3,33434.91,5761.02,431.09,1667.21,8.26,4347.42,993.1,1405.34,1442.96,6343.92,7859.32,7859.32,150.61,4149.3,1640.21,154.62,1007.56,6.96,1547.33,906.35,85.92,1415.617,1745.42,2802.38,2802.38,2282.59,49959.18,18191.15,2119.35,7870.82,85.38,13268.48,6915.77,4837.3,18982.97,28181.32,28181.32,18184.48,1608.43,7334.6,2.78,12113.04,1.55,7323.81,3371.98,18274.33,83.53,1630.88,718.31,70,281.57,1.49,178.9,263.49,537.92,722.87,1069.88,1069.88
"2021-10-31","World",184.837,43.69,460,292.86,41.04,159.08,2.65,150.57,157.74,139.64,1922.86,291.56,492.99,492.99,7.54,2784.78,417.19,8.94,8.67,0,372.6,6.96,44.6,420.31,434.81,434.81,45.88,,263.25,41.03,120.6,0,261.5,110.43,1.75,268.57,424.88,424.88,1818.33,1138.06,,6142.81,1129.51,4114.15,61.51,4127.04,3983.94,1954.25,1310.25,6264.47,11386.47,11386.47,25.94,1668.14,540.75,26.49,34.4,0,539.83,35.07,0.92,,540.62,601.64,601.64,269.18,5829.17,2404.61,221.93,471.57,4.25,1736.03,460.62,664.33,1795.17,2368.31,3098.11,3098.11,519.93,33456.65,5755.62,439.6,1664.75,8.19,4343.25,992.71,1404.18,1483.52,6347.33,7859.97,7859.97,156.31,4116.1,1630.92,153.74,1001.11,6.92,1538.58,897.94,85.42,1420.528,1731.51,2785.76,2785.76,2289.84,49940.84,18164.47,2133.53,7854.3,85.08,13247.71,6909.05,4831.69,18953.42,28152.31,28152.31,18147.21,1601.27,7331.56,2.78,12090.12,1.55,7309.97,3365.63,18241.07,83.31,1626,716.46,71.25,279.97,1.56,178.31,263.64,536.6,720.74,1067.68,1067.68
"2021-09-30","World",168.571,43.46,459.25,292.33,41.35,158.08,2.65,150.31,157.23,139.38,1485,291.08,491.77,491.77,8.02,2773.88,416.17,8.71,8.62,0,372.06,7.1,44.1,418.38,433.5,433.5,48.02,,262.58,41.08,119.94,0,260.83,109.52,1.75,266.06,423.6,423.6,1427.27,1143.33,,6138.92,1129.31,4103.19,61.27,4126.02,3981.12,1951.62,1181.38,6246.96,11371.42,11371.42,26.54,1667.04,540.67,26.31,35.02,0,539.75,35.27,0.92,,540.19,602,602,265.06,5839.92,2400.67,227.48,477.6,4.25,1731.33,466.44,665.08,1629.14,2374.25,3105.75,3105.75,517.56,33478.4,5750.23,448.1,1662.29,8.12,4339.08,992.31,1403.02,1398.75,6350.75,7860.62,7860.62,162,4082.9,1621.62,152.85,994.67,6.88,1529.83,889.54,84.92,1309.519,1717.6,2769.15,2769.15,2297.07,49922.51,18137.79,2147.69,7837.79,84.79,13226.92,6902.32,4826.06,18923.87,28123.29,28123.29,18109.94,1594.12,7328.51,2.78,12067.2,1.54,7296.13,3359.28,18207.82,83.08,1621.12,714.6,72.5,278.38,1.62,177.71,263.79,535.27,718.6,1065.48,1065.48
"2021-08-31","World",165.862,43.22,458.5,291.81,41.67,157.08,2.64,150.06,156.72,139.11,1493.64,290.61,490.56,490.56,8.5,2762.97,415.14,8.47,8.58,0,371.53,7.25,43.61,416.44,432.19,432.19,50.17,,261.92,41.14,119.28,0,260.17,108.61,1.75,263.56,422.33,422.33,1341.14,1148.61,,6135.03,1129.11,4092.22,61.03,4125,3978.31,1949,1141.82,6229.44,11356.36,11356.36,27.14,1665.94,540.58,26.14,35.64,0,539.67,35.47,0.92,,539.75,602.36,602.36,260.94,5850.67,2396.72,233.03,483.64,4.25,1726.64,472.25,665.83,1519.19,2380.19,3113.39,3113.39,515.19,33500.14,5744.83,456.61,1659.83,8.06,4334.92,991.92,1401.86,1433.94,6354.17,7861.28,7861.28,167.69,4049.69,1612.33,151.97,988.22,6.83,1521.08,881.14,84.42,1355.691,1703.69,2752.53,2752.53,2304.32,49904.16,18111.11,2161.89,7821.27,84.5,13206.18,6895.61,4820.44,18894.32,28094.28,28094.28,18072.67,1586.97,7325.47,2.78,12044.28,1.54,7282.3,3352.93,18174.56,82.86,1616.25,712.75,73.75,276.78,1.69,177.11,263.94,533.94,716.47,1063.28,1063.28
"2021-07-31","World",155.496,42.99,457.75,291.28,41.98,156.08,2.63,149.8,156.22,138.85,1584.09,290.14,489.34,489.34,8.98,2752.07,414.11,8.24,8.54,0,370.99,7.4,43.12,414.51,430.89,430.89,52.31,,261.25,41.19,118.62,0,259.5,107.7,1.75,261.05,421.06,421.06,1274.09,1153.89,,6131.14,1128.91,4081.26,60.78,4123.98,3975.49,1946.38,1062.99,6211.93,11341.31,11341.31,27.74,1664.85,540.5,25.97,36.26,0,539.58,35.67,0.92,,539.31,602.72,602.72,256.83,5861.42,2392.78,238.58,489.67,4.25,1721.94,478.06,666.58,1410.08,2386.14,3121.03,3121.03,512.83,33521.88,5739.44,465.12,1657.38,7.99,4330.75,991.52,1400.7,1468.34,6357.58,7861.93,7861.93,173.39,4016.49,1603.04,151.09,981.78,6.79,1512.33,872.74,83.92,1282.012,1689.78,2735.91,2735.91,2311.6,49885.84,18084.44,2176.08,7804.77,84.2,13185.38,6888.9,4814.84,18864.78,28065.27,28065.27,18035.39,1579.82,7322.42,2.78,12021.36,1.54,7268.46,3346.57,18141.31,82.64,1611.38,710.9,75,275.18,1.76,176.51,264.1,532.62,714.34,1061.08,1061.08
"2021-06-30","World",157.681,42.75,457,290.75,42.29,155.08,2.62,149.54,155.71,138.58,1670.68,289.67,488.12,488.12,9.46,2741.17,413.08,8,8.5,0,370.46,7.54,42.62,412.58,429.58,429.58,54.46,,260.58,41.25,117.96,0,258.83,106.79,1.75,258.54,419.79,419.79,1400.45,1159.17,,6127.25,1128.71,4070.29,60.54,4122.96,3972.67,1943.75,1004.42,6194.42,11326.25,11326.25,28.33,1663.75,540.42,25.79,36.88,0,539.5,35.88,0.92,,538.88,603.08,603.08,252.71,5872.17,2388.83,244.12,495.71,4.25,1717.25,483.88,667.33,1527.59,2392.08,3128.67,3128.67,510.46,33543.62,5734.04,473.62,1654.92,7.92,4326.58,991.12,1399.54,1518.16,6361,7862.58,7862.58,179.08,3983.29,1593.75,150.21,975.33,6.75,1503.58,864.33,83.42,1296.748,1675.88,2719.29,2719.29,2318.84,49867.5,18057.74,2190.24,7788.25,83.91,13164.62,6882.17,4809.2,18835.26,28036.24,28036.24,17998.12,1572.66,7319.38,2.78,11998.43,1.54,7254.62,3340.22,18108.06,82.42,1606.5,709.04,76.25,273.58,1.83,175.92,264.25,531.29,712.21,1058.88,1058.88
"2021-05-31","World",174.876,42.51,456.25,290.22,42.6,154.08,2.62,149.28,155.2,138.32,1715.24,289.19,486.91,486.91,9.94,2730.26,412.06,7.76,8.46,0,369.92,7.69,42.13,410.65,428.28,428.28,56.6,,259.92,41.31,117.3,0,258.17,105.88,1.75,256.03,418.52,418.52,1530.5,1164.44,,6123.36,1128.51,4059.33,60.3,4121.94,3969.85,1941.12,1136.46,6176.9,11311.19,11311.19,28.93,1662.65,540.33,25.62,37.49,0,539.42,36.08,0.92,,538.44,603.44,603.44,248.59,5882.92,2384.89,249.67,501.74,4.25,1712.56,489.69,668.08,1531.38,2398.03,3136.31,3136.31,508.09,33565.37,5728.65,482.13,1652.46,7.85,4322.42,990.73,1398.38,1574.67,6364.42,7863.24,7863.24,184.78,3950.09,1584.46,149.33,968.89,6.71,1494.83,855.93,82.92,1584.587,1661.97,2702.67,2702.67,2326.07,49849.16,18031.08,2204.43,7771.74,83.63,13143.86,6875.45,4803.59,18805.71,28007.23,28007.23,17960.85,1565.51,7316.33,2.78,11975.51,1.54,7240.79,3333.87,18074.8,82.19,1601.62,707.19,77.5,271.99,1.9,175.32,264.4,529.97,710.08,1056.67,1056.67
